,0
0,955.1100335249042
1,240.26628352490422
2,95.74554996807151
3,1137.6039870689656
4,172.59802043422732
5,118.11961206896552
6,615.0798810664112
7,525.9906409642401
8,832.8997046615581
9,556.6044659961685
10,425.27554278416346
11,311.81990341634736
12,726.2933628671775
13,921.5486510217114
14,414.9007223818646
15,901.1353767560664
16,927.8418542464879
17,822.6196519795658
18,227.42548690932313
19,130.36458333333334
20,230.67139607279694
21,299.1474696679438
22,393.18069524265644
23,76.44919380587484
24,119.6932670817369
25,86.77679996807151
26,77.40670897190294
27,471.91349377394636
28,663.4923172094508
29,648.6211885376756
30,868.9496128671775
31,659.4859913793103
32,730.1914511494252
33,89.42175526819923
34,156.27985312899105
35,317.02791746487867
36,115.86805555555556
37,99.09470785440612
38,148.779374201788
39,158.91648706896552
40,184.04366219667943
41,282.9591515006386
42,314.43841794380586
43,115.49700670498085
44,139.80397908684546
45,696.654054916986
46,242.15545178799488
47,330.2950790229885
48,394.3357479246488
49,109.73702905491699
50,734.996248403576
51,255.03821439974456
52,138.93135376756067
53,129.26233237547893
54,253.3514527458493
