,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
euclidean_dist,0.18993547311585945,0.0,0.2324635006486331,0.4275445126679193,0.3554522516023879,0.20394136920152772,0.0,0.38972088370645125,0.3147703598139889,0.2186856915199073,0.2186856915199073,0.0,0.30422470372618077,0.30422470372618077,0.0,0.3171723687923608,0.3171723687923608,0.43621410188626386,0.1690607766205302,0.1690607766205302,0.29497951038202685,0.31436909224752524,0.456730432031937,0.0,0.20337484710727868,0.0,0.20638590303284712,0.3922159410000078,0.29354616496407393,0.19593066888292282,0.276275543193982,0.2192999458604702,0.18993547311585945,0.3001313856446923,0.20638590303284712,0.3337533452542831,0.2966015210365014,0.24762580205411325,0.4139788478494531,0.29340941266178155,0.29497951038202685,0.3337533452542831,0.3243886382427484,0.20684620466618467,0.17914602704455562,0.28715388349285126,0.17914602704455562,0.6103409853541756,0.6199956388707695,0.20394136920152772,0.45418142366481956,0.27931411717707016,0.7245064652994012,0.3267213825034851,0.36965498372335215
nRMSE_embedding,0.18545265078385656,0.22667609619336979,0.11696762393052876,0.2597335421575412,0.16404597917629388,0.09540903365113115,0.22808607004265827,0.21381364314302317,0.0689530429971971,0.17547912279153954,0.18507307483201157,0.1619522297331246,0.21146291893600233,0.157236955045793,0.25420027226493364,0.03842234539892368,0.037150797283942126,0.3969346590632508,0.28931706342983976,0.49983883515633437,0.13968295655481652,0.24240489981981994,0.14136969551183787,0.06809180471116096,0.22617620381660067,0.058172257852004174,0.7187612233980742,0.5538999126020908,0.1295119314268164,0.30486046617056983,0.18331727334053297,0.1956392475648728,0.22308574394012,0.08246835033262373,0.33514086369587626,0.06984110633495563,0.08631973518266343,0.09365591343598,0.07850046120165578,0.15045137325083435,0.2052886329056683,0.07080075512429089,0.2678252126295573,0.17918346808540583,0.4547515640263895,0.0814304668191132,0.2880271363222373,0.2549245755277431,0.3663187702715896,0.10656665333825628,0.15031172212984803,0.4891079755513226,1.2208405156226478,0.20587591506065672,0.29436622874261303
nRMSE_coordenadas,0.18545265078385656,0.22667609619336979,0.08191981564025505,0.24214207401769883,1.8367832434274107,3.153236764126422,0.22808607004265827,0.14930028269996154,0.12323511444773776,0.18494790157279636,0.27334642533596715,0.1619522297331246,0.15442720601285334,0.06424852777680434,0.25420027226493364,0.5169101022658454,0.5998328317937673,0.3969346590632508,1.926438732511821,3.994313015042488,1.6207429924551324,0.1546163182863726,0.14136969551183787,0.06809180471116096,0.2323503062704418,0.058172257852004174,0.1614741726588117,0.43450162243033125,0.4962040952077953,0.33495901228666375,0.14310599941554925,0.13960783071899713,0.22308574394012,0.05788984857383231,1.8553085671259208,0.6439385228673589,0.8122517867956093,4.019294207885611,0.12219496987756247,0.15045137325083435,0.13494874670540397,0.33539793558941006,0.9694984298352008,1.2307319205101601,0.4547515640263895,0.4245807330441427,0.14822024272555318,1.5465444958277168,0.3663187702715896,3.706260791425906,0.46206107207402186,0.8973561017167001,1.2208405156226478,1.2029479031079855,2.261153710859174
RMSE_embedding,358.3872476398028,128.75202263783405,25.67439345275106,533.6225623626684,62.829610024520555,22.32571387436469,263.0972817942063,273.2538359367836,111.11782878998311,198.02819007025238,198.02819007025238,128.75202263783405,271.941313751699,271.941313751699,263.0972817942063,59.49700185023332,59.49700185023332,598.1805312083189,120.21123985509841,120.21123985509841,72.77482036505941,157.80558978270278,100.65522320442857,11.779882215030845,56.091698546516966,11.779882215030845,114.28303452029381,502.9411206426984,165.12771256919092,389.1543850667324,332.62919247639707,292.4806751094848,358.3872476398028,18.55537882484034,114.28303452029381,46.374494606410536,18.040824653176657,22.4774192246352,30.73293056044824,57.62287595506956,72.77482036505941,46.374494606410536,165.24815619243682,31.98424905324494,122.55554650511198,105.33030883052292,122.55554650511198,165.8284363807969,328.40477754848007,22.32571387436469,228.84959694269364,214.2292932914793,321.0810556087564,56.20412481155928,118.77677329764435
RMSE_coordenadas,358.3872476398028,128.75202263783405,17.981399533035983,497.48089106936226,703.4879822326983,737.8574028055828,263.0972817942063,190.80576129055083,198.5933869325294,208.7137069249007,292.4806751094848,128.75202263783405,198.5933869325294,111.11782878998311,263.0972817942063,800.4352933586616,960.6322801177184,598.1805312083189,800.4352933586616,960.6322801177184,844.407099069124,100.65522320442857,100.65522320442857,11.779882215030845,57.62287595506956,11.779882215030845,25.67439345275106,394.5274731667408,632.660221389939,427.57517918392625,259.6658359395141,208.7137069249007,358.3872476398028,13.025215929112269,632.660221389939,427.57517918392625,169.76062344028233,964.6306098925467,47.839330707065706,57.62287595506956,47.839330707065706,219.68564781106357,598.1805312083189,219.68564781106357,122.55554650511198,549.1951781925985,63.06771327972288,1006.0271945359298,328.40477754848007,776.4616358037273,703.4879822326983,393.0419725519146,321.0810556087564,328.40477754848007,912.3755223316767
rank_embedding,10.0,17.0,6.0,11.0,10.0,4.0,12.0,17.0,3.0,6.0,12.0,13.0,15.0,8.0,19.0,1.0,1.0,23.0,17.0,20.0,7.0,14.0,4.0,2.0,15.0,1.0,18.0,49.0,8.0,21.0,13.0,13.0,17.0,3.0,23.0,2.0,3.0,3.0,3.0,9.0,11.0,2.0,15.0,9.0,24.0,2.0,17.0,16.0,28.0,5.0,11.0,32.0,33.0,14.0,16.0
rank_coordenadas,10.0,17.0,4.0,8.0,46.0,45.0,12.0,8.0,9.0,9.0,20.0,13.0,9.0,2.0,19.0,33.0,42.0,23.0,49.0,51.0,51.0,12.0,4.0,2.0,16.0,1.0,4.0,30.0,38.0,23.0,9.0,9.0,17.0,2.0,42.0,40.0,25.0,50.0,9.0,9.0,3.0,29.0,47.0,26.0,24.0,30.0,6.0,54.0,28.0,46.0,36.0,38.0,33.0,33.0,53.0
RMSE_lowest,111.51571731524366,51.665465375819466,11.51798864819722,260.23338383554864,24.858872493873623,17.96089502224207,105.33030883052292,96.3045435281569,82.10770048641399,110.26830441397625,16.450683876362103,41.3784301196489,66.46216028688805,100.4943639588808,16.450683876362103,59.49700185023332,59.49700185023332,82.10770048641399,28.561519859185832,20.814720852480022,28.561519859185832,26.638640871861313,82.10191202605048,10.529967157277051,18.040824653176657,11.779882215030845,10.529967157277051,92.96812849932317,31.09172418023806,31.09172418023806,100.4943639588808,88.62723316415408,88.62723316415408,11.51798864819722,57.123723545184504,26.638640871861313,15.71822190961815,16.01350341638789,27.163423247079887,31.177916864344866,24.858872493873623,32.17226581234216,59.796246920967654,14.915822834605315,14.965498516031243,66.46216028688805,32.179388136403915,41.3784301196489,49.10516987378553,14.915822834605315,100.84113692255426,32.179388136403915,14.965498516031243,23.179552771066714,32.687161406786814
RMSE_comparativa,0.0,0.0,2.0,3.0,-36.0,-41.0,0.0,9.0,-6.0,-3.0,-8.0,0.0,6.0,6.0,0.0,-32.0,-41.0,0.0,-32.0,-31.0,-44.0,2.0,0.0,0.0,-1.0,0.0,14.0,19.0,-30.0,-2.0,4.0,4.0,0.0,1.0,-19.0,-38.0,-22.0,-47.0,-6.0,0.0,8.0,-27.0,-32.0,-17.0,0.0,-28.0,11.0,-38.0,0.0,-41.0,-25.0,-6.0,0.0,-19.0,-37.0
target_ATR,3452.0,3460.0,3518.0,3580.0,3581.0,3642.0,3909.0,3910.0,3912.0,3913.0,3917.0,3918.0,3919.0,3921.0,3926.0,5474.0,5476.0,5477.0,5480.0,5481.0,5482.0,5499.0,5506.0,5530.0,5537.0,5538.0,5539.0,5542.0,5543.0,5544.0,5546.0,5547.0,5549.0,5555.0,5556.0,5558.0,5562.0,5563.0,5565.0,5568.0,5570.0,5572.0,5576.0,5578.0,5579.0,5581.0,5583.0,5588.0,5592.0,5600.0,5607.0,5611.0,5616.0,5620.0,6980.0
selected_ATR_embedding,5549.0,3918.0,5539.0,5581.0,3642.0,5600.0,3926.0,5576.0,3921.0,3917.0,3913.0,3460.0,3921.0,3919.0,3909.0,5476.0,5474.0,5576.0,5481.0,5480.0,5570.0,5570.0,5499.0,5538.0,5530.0,5530.0,5556.0,5546.0,5547.0,3452.0,5547.0,3917.0,3452.0,5539.0,5539.0,5572.0,5537.0,5578.0,5481.0,5537.0,5482.0,5558.0,3917.0,5539.0,5583.0,3909.0,5579.0,3581.0,5620.0,3642.0,5546.0,5539.0,5592.0,5555.0,5579.0
