,0
0,835.2017408675799
1,209.04871575342466
2,86.19980022831051
3,1007.1102311643835
4,155.2255850456621
5,106.70162671232876
6,535.2272117579909
7,460.38193493150686
8,738.9455479452055
9,482.7710188356164
10,371.144477739726
11,275.43647260273974
12,642.3203624429224
13,812.4667665525114
14,361.65021404109586
15,801.4450627853881
16,830.5277111872147
17,746.5771689497717
18,201.16077340182648
19,115.51007420091324
20,205.44129566210046
21,266.83025114155254
22,351.6813784246575
23,68.24660388127855
24,105.60754851598173
25,76.81688070776255
26,68.35055650684932
27,420.78759988584477
28,595.9072631278539
29,573.5536386986302
30,758.248144977169
31,578.8775256849315
32,645.5374286529681
33,79.62665525114156
34,151.52001997716894
35,283.3886415525114
36,104.44145262557078
37,87.29928652968036
38,132.66168664383562
39,139.5562642694064
40,164.8401969178082
41,253.01588184931506
42,269.8471175799087
43,105.31655251141552
44,126.31790810502284
45,615.2908533105023
46,218.69748858447488
47,303.30181221461186
48,344.76775114155254
49,99.28942636986301
50,660.6945062785388
51,232.24203767123288
52,125.62445776255707
53,110.0128852739726
54,236.1553082191781
